Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
South Grafton,R07 - GPM,2460,NSW,GO,1 in 3,High (50+),8,137,19,8,108,280,38.60%,9.60%,6.80%,2.90%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Grafton,R07 - GPM,2460,NSW,GO,1 in 3,High (50+),18,87,23,39,70,237,29.50%,26.20%,9.70%,16.50%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Clarenza,R07 - GPM,2460,NSW,GO,1 in 3,Low (10-19),0,9,0,1,6,16,37.50%,6.20%,0.00%,6.20%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Braunstone,R07 - GPM,2460,NSW,GO,1 in 2,Very Low (<10),1,1,0,0,3,5,60.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Elland,R07 - GPM,2460,NSW,GO,1 in 2,Very Low (<10),0,3,0,0,2,5,40.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Waterview Heights,R07 - GPM,2460,NSW,WORTH IT,1 in 5,Very Low (<10),0,2,0,2,1,5,20.00%,40.00%,0.00%,40.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Coutts Crossing,R07 - GPM,2460,NSW,KEEP AWAY,1 in 6,Low (10-19),0,6,3,5,3,17,17.60%,47.10%,17.60%,29.40%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Tucabia,R07 - GPM,2462,NSW,GO,1 in 2,Low (10-19),0,7,0,0,12,19,63.20%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Ulmarra,R07 - GPM,2462,NSW,GO,1 in 2,Low (10-19),4,6,0,0,7,17,41.20%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Ilarwill,R07 - GPM,2463,NSW,GO,1 in 3,Low (10-19),4,5,1,0,5,15,33.30%,6.70%,6.70%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Wardell,NNSW,2477,NSW,ON THE FENCE,1 in 6,Medium (20-49),0,16,1,3,4,24,16.70%,16.70%,4.20%,12.50%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Bangalow,NNSW,2479,NSW,WORTH IT,1 in 5,Very Low (<10),0,2,1,1,1,5,20.00%,40.00%,20.00%,20.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Goonellabah,NNSW,2480,NSW,GO,1 in 3,Very Low (<10),0,3,1,2,3,9,33.30%,33.30%,11.10%,22.20%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Clunes,NNSW,2480,NSW,ON THE FENCE,1 in 12,Low (10-19),0,9,2,0,1,12,8.30%,16.70%,16.70%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Ocean Shores,NNSW,2483,NSW,ON THE FENCE,1 in 6,Very Low (<10),0,4,0,1,1,6,16.70%,16.70%,0.00%,16.70%,28/11/2022,2-3cm,,,,,,,
Murwillumbah,NNSW,2484,NSW,WORTH IT,1 in 4,Medium (20-49),1,16,6,7,9,39,23.10%,33.30%,15.40%,17.90%,28/11/2022,2-3cm,,,,,,,
Tweed Heads West,NNSW,2485,NSW,GO,1 in 4,Low (10-19),0,6,0,2,3,11,27.30%,18.20%,0.00%,18.20%,28/11/2022,2-3cm,,,,,,,
Tweed Heads,NNSW,2485,NSW,ON THE FENCE,No Claims,Very Low (<10),1,4,2,0,0,7,0.00%,28.60%,28.60%,0.00%,28/11/2022,2-3cm,,,,,,,
Banora Point,NNSW,2486,NSW,ON THE FENCE,1 in 6,Low (10-19),0,15,0,0,3,18,16.70%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Tweed Heads South,NNSW,2486,NSW,ON THE FENCE,No Claims,Very Low (<10),0,8,1,0,0,9,0.00%,11.10%,11.10%,0.00%,28/11/2022,2-3cm,,,,,,,
Bilambil Heights,NNSW,2486,NSW,ON THE FENCE,1 in 8,Very Low (<10),0,7,0,0,1,8,12.50%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Terranora,NNSW,2486,NSW,ON THE FENCE,1 in 7,Very Low (<10),0,5,0,1,1,7,14.30%,14.30%,0.00%,14.30%,28/11/2022,2-3cm,,,,,,,
Casuarina,NNSW,2487,NSW,ON THE FENCE,1 in 26,High (50+),12,31,1,5,2,51,3.90%,11.80%,2.00%,9.80%,28/11/2022,2-3cm,,,,,,,
Kingscliff,NNSW,2487,NSW,KEEP AWAY,No Claims,Low (10-19),2,7,4,3,0,16,0.00%,43.80%,25.00%,18.80%,28/11/2022,2-3cm,,,,,,,
Bogangar,NNSW,2488,NSW,ON THE FENCE,No Claims,Low (10-19),3,9,0,1,0,13,0.00%,7.70%,0.00%,7.70%,28/11/2022,2-3cm,,,,,,,
Tumbulgum,NNSW,2490,NSW,UNPROVEN,No Claims,Low (10-19),1,10,0,0,0,11,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Harden,OOA,2587,NSW,ON THE FENCE,1 in 10,High (50+),0,45,0,1,5,51,9.80%,2.00%,0.00%,2.00%,28/11/2022,2-3cm,,,,,,,
Cowra,OOA,2794,NSW,KEEP AWAY,No Claims,Very Low (<10),0,3,0,2,0,5,0.00%,40.00%,0.00%,40.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Orange,OOA,2800,NSW,ON THE FENCE,1 in 17,Low (10-19),0,12,4,0,1,17,5.90%,23.50%,23.50%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Grenfell,OOA,2810,NSW,GO,1 in 2,High (50+),1,96,1,1,124,223,55.60%,0.90%,0.40%,0.40%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Dubbo,OOA,2830,NSW,WORTH IT,1 in 5,High (50+),0,52,5,7,18,82,22.00%,14.60%,6.10%,8.50%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
North Bendigo,OOA - Bendigo,3550,VIC,UNPROVEN,No Claims,Very Low (<10),2,3,0,0,0,5,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Epsom,OOA - Bendigo,3551,VIC,UNPROVEN,No Claims,Very Low (<10),2,3,0,0,0,5,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kangaroo Flat,OOA - Bendigo,3555,VIC,UNPROVEN,No Claims,Very Low (<10),2,5,0,0,0,7,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Eaglehawk,OOA - Bendigo,3556,VIC,UNPROVEN,No Claims,Very Low (<10),4,3,0,0,0,7,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Spring Hill,R01 - BGCI,4000,QLD,UNPROVEN,No Claims,Very Low (<10),0,7,0,0,0,7,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Clayfield,R01 - BGCI,4011,QLD,KEEP AWAY,No Claims,Very Low (<10),0,2,2,1,0,5,0.00%,60.00%,40.00%,20.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Brighton,R01 - BGCI,4017,QLD,GO,1 in 2,Low (10-19),1,4,0,0,5,10,50.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Wilston,R01 - BGCI,4051,QLD,GO,1 in 2,Very Low (<10),0,1,0,2,2,5,40.00%,40.00%,0.00%,40.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Ferny Hills,R01 - BGCI,4055,QLD,KEEP AWAY,No Claims,Very Low (<10),0,4,2,1,0,7,0.00%,42.90%,28.60%,14.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Paddington,R01 - BGCI,4064,QLD,ON THE FENCE,No Claims,Very Low (<10),0,4,0,1,0,5,0.00%,20.00%,0.00%,20.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Indooroopilly,R01 - BGCI,4068,QLD,WORTH IT,1 in 5,Very Low (<10),0,4,0,0,1,5,20.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Kenmore,R01 - BGCI,4069,QLD,ON THE FENCE,No Claims,Low (10-19),1,7,1,1,0,10,0.00%,20.00%,10.00%,10.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Pullenvale,R01 - BGCI,4069,QLD,ON THE FENCE,1 in 8,Very Low (<10),1,6,0,0,1,8,12.50%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Chapel Hill,R01 - BGCI,4069,QLD,KEEP AWAY,No Claims,Very Low (<10),0,6,0,3,0,9,0.00%,33.30%,0.00%,33.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Moggill,R01 - BGCI,4070,QLD,GO,1 in 4,Very Low (<10),2,4,0,0,2,8,25.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Bellbowrie,R01 - BGCI,4070,QLD,ON THE FENCE,No Claims,Very Low (<10),0,5,0,1,0,6,0.00%,16.70%,0.00%,16.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R01 - BGCI,4070,QLD,UNPROVEN,No Claims,Very Low (<10),2,3,0,0,0,5,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Sinnamon Park,R01 - BGCI,4073,QLD,ON THE FENCE,1 in 8,Very Low (<10),0,7,0,0,1,8,12.50%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Jamboree Heights,R01 - BGCI,4074,QLD,ON THE FENCE,No Claims,Very Low (<10),0,4,0,1,0,5,0.00%,20.00%,0.00%,20.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Oxley,R01 - BGCI,4075,QLD,GO,1 in 4,Very Low (<10),0,5,0,0,2,7,28.60%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R01 - BGCI,4075,QLD,UNPROVEN,No Claims,Very Low (<10),0,5,0,0,0,5,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Darra,R01 - BGCI,4076,QLD,ON THE FENCE,1 in 6,Very Low (<10),0,5,0,0,1,6,16.70%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Inala,R01 - BGCI,4077,QLD,ON THE FENCE,1 in 8,Very Low (<10),0,6,0,1,1,8,12.50%,12.50%,0.00%,12.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Forest Lake,R01 - BGCI,4078,QLD,ON THE FENCE,No Claims,Low (10-19),0,16,1,2,0,19,0.00%,15.80%,5.30%,10.50%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R01 - BGCI,4078,QLD,UNPROVEN,No Claims,Very Low (<10),0,5,0,0,0,5,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Highgate Hill,R01 - BGCI,4101,QLD,ON THE FENCE,1 in 8,Very Low (<10),1,5,1,0,1,8,12.50%,12.50%,12.50%,0.00%,24/11/25,3-4cm,,26/10/25,4-5cm,,,,
Annerley,R01 - BGCI,4103,QLD,ON THE FENCE,No Claims,Very Low (<10),0,4,1,0,0,5,0.00%,20.00%,20.00%,0.00%,24/11/25,3-4cm,,26/10/25,4-5cm,,,,
Yeronga,R01 - BGCI,4104,QLD,ON THE FENCE,1 in 7,Medium (20-49),12,15,0,3,5,35,14.30%,8.60%,0.00%,8.60%,24/11/25,3-4cm,,26/10/25,4-5cm,,,,
Moorooka,R01 - BGCI,4105,QLD,ON THE FENCE,1 in 6,Low (10-19),0,8,0,2,2,12,16.70%,16.70%,0.00%,16.70%,24/11/25,3-4cm,,26/10/25,4-5cm,,,,
Rocklea,R01 - BGCI,4106,QLD,WORTH IT,1 in 5,Low (10-19),0,9,1,1,3,14,21.40%,14.30%,7.10%,7.10%,24/11/25,3-4cm,,26/10/25,4-5cm,,,,
Salisbury,R01 - BGCI,4107,QLD,ON THE FENCE,1 in 7,Very Low (<10),0,4,0,2,1,7,14.30%,28.60%,0.00%,28.60%,24/11/25,3-4cm,,26/10/25,4-5cm,,,,
Sunnybank Hills,R01 - BGCI,4109,QLD,ON THE FENCE,1 in 13,Low (10-19),0,9,2,1,1,13,7.70%,23.10%,15.40%,7.70%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Sunnybank,R01 - BGCI,4109,QLD,ON THE FENCE,1 in 11,Low (10-19),2,8,0,0,1,11,9.10%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Acacia Ridge,R01 - BGCI,4110,QLD,WORTH IT,1 in 5,Medium (20-49),2,7,1,6,4,20,20.00%,35.00%,5.00%,30.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Heathwood,R01 - BGCI,4110,QLD,ON THE FENCE,No Claims,Very Low (<10),0,4,0,1,0,5,0.00%,20.00%,0.00%,20.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Eight Mile Plains,R01 - BGCI,4113,QLD,ON THE FENCE,No Claims,Very Low (<10),0,4,0,1,0,5,0.00%,20.00%,0.00%,20.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Runcorn,R01 - BGCI,4113,QLD,KEEP AWAY,No Claims,Very Low (<10),1,4,2,1,0,8,0.00%,37.50%,25.00%,12.50%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
(No Suburb Listed),R01 - BGCI,4114,QLD,GO,1 in 4,Very Low (<10),1,4,0,0,2,7,28.60%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Kingston,R01 - BGCI,4114,QLD,WORTH IT,1 in 5,Medium (20-49),7,14,4,9,9,43,20.90%,30.20%,9.30%,20.90%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Woodridge,R01 - BGCI,4114,QLD,ON THE FENCE,No Claims,Low (10-19),3,7,2,2,0,14,0.00%,28.60%,14.30%,14.30%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Logan Central,R01 - BGCI,4114,QLD,KEEP AWAY,No Claims,Very Low (<10),1,5,1,2,0,9,0.00%,33.30%,11.10%,22.20%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Parkinson,R01 - BGCI,4115,QLD,ON THE FENCE,1 in 10,Low (10-19),1,6,1,1,1,10,10.00%,20.00%,10.00%,10.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Algester,R01 - BGCI,4115,QLD,ON THE FENCE,1 in 8,Very Low (<10),0,6,0,1,1,8,12.50%,12.50%,0.00%,12.50%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Calamvale,R01 - BGCI,4116,QLD,UNPROVEN,No Claims,Very Low (<10),0,5,0,0,0,5,0.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Heritage Park,R01 - BGCI,4118,QLD,ON THE FENCE,No Claims,Low (10-19),0,12,0,1,0,13,0.00%,7.70%,0.00%,7.70%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Regents Park,R01 - BGCI,4118,QLD,ON THE FENCE,1 in 11,Low (10-19),1,9,0,0,1,11,9.10%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
(No Suburb Listed),R01 - BGCI,4118,QLD,UNPROVEN,No Claims,Very Low (<10),0,5,0,0,0,5,0.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Hillcrest,R01 - BGCI,4118,QLD,KEEP AWAY,1 in 8,Medium (20-49),3,15,1,10,4,33,12.10%,33.30%,3.00%,30.30%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Greenslopes,R01 - BGCI,4120,QLD,KEEP AWAY,No Claims,Very Low (<10),0,5,2,1,0,8,0.00%,37.50%,25.00%,12.50%,26/10/25,7+cm,,,,,,,
Mount Gravatt East,R01 - BGCI,4122,QLD,ON THE FENCE,No Claims,Low (10-19),0,9,0,1,0,10,0.00%,10.00%,0.00%,10.00%,26/10/25,7+cm,,,,,,,
Wishart,R01 - BGCI,4122,QLD,ON THE FENCE,No Claims,Very Low (<10),1,3,0,1,0,5,0.00%,20.00%,0.00%,20.00%,26/10/25,7+cm,,,,,,,
Upper Mount Gravatt,R01 - BGCI,4122,QLD,KEEP AWAY,1 in 6,Very Low (<10),0,3,0,2,1,6,16.70%,33.30%,0.00%,33.30%,26/10/25,7+cm,,,,,,,
Rochedale South,R01 - BGCI,4123,QLD,ON THE FENCE,1 in 11,Low (10-19),2,5,2,1,1,11,9.10%,27.30%,18.20%,9.10%,26/10/25,7+cm,,,,,,,
Rochedale,R01 - BGCI,4123,QLD,ON THE FENCE,No Claims,Very Low (<10),3,2,0,1,0,6,0.00%,16.70%,0.00%,16.70%,26/10/25,7+cm,,,,,,,
Greenbank,R01 - BGCI,4124,QLD,ON THE FENCE,1 in 10,Medium (20-49),7,26,0,3,4,40,10.00%,7.50%,0.00%,7.50%,26/10/25,7+cm,,,,,,,
Ipswich,R01 - BGCI,4124,QLD,UNPROVEN,No Claims,Very Low (<10),1,4,0,0,0,5,0.00%,0.00%,0.00%,0.00%,26/10/25,7+cm,,,,,,,
New Beith,R01 - BGCI,4124,QLD,KEEP AWAY,1 in 26,High (50+),10,41,11,14,3,79,3.80%,31.60%,13.90%,17.70%,26/10/25,7+cm,,,,,,,
Boronia Heights,R01 - BGCI,4124,QLD,KEEP AWAY,1 in 14,High (50+),9,26,4,13,4,56,7.10%,30.40%,7.10%,23.20%,26/10/25,7+cm,,,,,,,
Park Ridge,R01 - BGCI,4125,QLD,GO,1 in 4,High (50+),8,125,3,8,48,192,25.00%,5.70%,1.60%,4.20%,26/10/25,7+cm,,,,,,,
Munruben,R01 - BGCI,4125,QLD,ON THE FENCE,1 in 12,High (50+),21,28,1,3,5,58,8.60%,6.90%,1.70%,5.20%,26/10/25,7+cm,,,,,,,
Park Ridge South,R01 - BGCI,4125,QLD,ON THE FENCE,1 in 8,Medium (20-49),8,13,0,1,3,25,12.00%,4.00%,0.00%,4.00%,26/10/25,7+cm,,,,,,,
(No Suburb Listed),R01 - BGCI,4125,QLD,ON THE FENCE,1 in 7,Very Low (<10),1,5,0,0,1,7,14.30%,0.00%,0.00%,0.00%,26/10/25,7+cm,,,,,,,
(No Suburb Listed),R01 - BGCI,4127,QLD,WORTH IT,1 in 5,Low (10-19),0,8,0,0,2,10,20.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Slacks Creek,R01 - BGCI,4127,QLD,ON THE FENCE,1 in 8,Low (10-19),2,10,1,2,2,17,11.80%,17.60%,5.90%,11.80%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Daisy Hill,R01 - BGCI,4127,QLD,KEEP AWAY,No Claims,Low (10-19),1,5,0,4,0,10,0.00%,40.00%,0.00%,40.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Shailer Park,R01 - BGCI,4128,QLD,GO,1 in 4,High (50+),17,28,1,5,19,70,27.10%,8.60%,1.40%,7.10%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Tanah Merah,R01 - BGCI,4128,QLD,ON THE FENCE,1 in 5,High (50+),15,24,1,1,10,51,19.60%,3.90%,2.00%,2.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
(No Suburb Listed),R01 - BGCI,4128,QLD,ON THE FENCE,1 in 11,Medium (20-49),5,22,1,2,3,33,9.10%,9.10%,3.00%,6.10%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Loganholme,R01 - BGCI,4129,QLD,GO,1 in 4,High (50+),20,39,2,1,23,85,27.10%,3.50%,2.40%,1.20%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
(No Suburb Listed),R01 - BGCI,4129,QLD,GO,1 in 4,Low (10-19),2,8,1,0,4,15,26.70%,6.70%,6.70%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Cornubia,R01 - BGCI,4130,QLD,GO,1 in 4,High (50+),20,59,4,2,31,116,26.70%,5.20%,3.40%,1.70%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
(No Suburb Listed),R01 - BGCI,4130,QLD,ON THE FENCE,1 in 12,Medium (20-49),9,12,0,0,2,23,8.70%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Loganlea,R01 - BGCI,4131,QLD,ON THE FENCE,1 in 5,Low (10-19),3,8,1,1,3,16,18.80%,12.50%,6.20%,6.20%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Marsden,R01 - BGCI,4132,QLD,ON THE FENCE,1 in 9,Medium (20-49),6,16,1,8,4,35,11.40%,25.70%,2.90%,22.90%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Crestmead,R01 - BGCI,4132,QLD,KEEP AWAY,1 in 6,Medium (20-49),2,11,3,8,5,29,17.20%,37.90%,10.30%,27.60%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Waterford,R01 - BGCI,4133,QLD,GO,1 in 4,High (50+),13,94,1,3,37,148,25.00%,2.70%,0.70%,2.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Chambers Flat,R01 - BGCI,4133,QLD,ON THE FENCE,1 in 7,Medium (20-49),15,15,2,4,6,42,14.30%,14.30%,4.80%,9.50%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Waterford West,R01 - BGCI,4133,QLD,ON THE FENCE,1 in 9,Low (10-19),3,11,1,1,2,18,11.10%,11.10%,5.60%,5.60%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Logan Reserve,R01 - BGCI,4133,QLD,UNPROVEN,No Claims,Very Low (<10),0,6,0,0,0,6,0.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
(No Suburb Listed),R01 - BGCI,4133,QLD,UNPROVEN,No Claims,Very Low (<10),1,4,0,0,0,5,0.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Coorparoo,R01 - BGCI,4151,QLD,KEEP AWAY,1 in 18,Low (10-19),0,11,2,4,1,18,5.60%,33.30%,11.10%,22.20%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Carindale,R01 - BGCI,4152,QLD,ON THE FENCE,1 in 7,Very Low (<10),0,5,0,1,1,7,14.30%,14.30%,0.00%,14.30%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Carina Heights,R01 - BGCI,4152,QLD,ON THE FENCE,No Claims,Very Low (<10),1,3,1,0,0,5,0.00%,20.00%,20.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Camp Hill,R01 - BGCI,4152,QLD,KEEP AWAY,1 in 6,Low (10-19),2,7,5,1,3,18,16.70%,33.30%,27.80%,5.60%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Capalaba,R01 - BGCI,4157,QLD,ON THE FENCE,1 in 6,Very Low (<10),0,5,0,0,1,6,16.70%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Thorneside,R01 - BGCI,4158,QLD,UNPROVEN,No Claims,Very Low (<10),7,1,0,0,0,8,0.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Birkdale,R01 - BGCI,4159,QLD,GO,1 in 2,Very Low (<10),1,2,0,0,3,6,50.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Wellington Point,R01 - BGCI,4160,QLD,KEEP AWAY,No Claims,Very Low (<10),0,3,1,1,0,5,0.00%,40.00%,20.00%,20.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Alexandra Hills,R01 - BGCI,4161,QLD,ON THE FENCE,No Claims,Very Low (<10),2,4,1,0,0,7,0.00%,14.30%,14.30%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Mount Cotton,R01 - BGCI,4165,QLD,ON THE FENCE,No Claims,Very Low (<10),0,6,1,1,0,8,0.00%,25.00%,12.50%,12.50%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Redland Bay,R01 - BGCI,4165,QLD,ON THE FENCE,No Claims,Very Low (<10),3,1,1,0,0,5,0.00%,20.00%,20.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Norman Park,R01 - BGCI,4170,QLD,GO,1 in 4,Very Low (<10),0,2,2,1,2,7,28.60%,42.90%,28.60%,14.30%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Morningside,R01 - BGCI,4170,QLD,ON THE FENCE,1 in 6,Very Low (<10),0,4,1,0,1,6,16.70%,16.70%,16.70%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Wynnum,R01 - BGCI,4178,QLD,ON THE FENCE,1 in 11,Low (10-19),0,7,2,1,1,11,9.10%,27.30%,18.20%,9.10%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Manly West,R01 - BGCI,4179,QLD,GO,1 in 3,Low (10-19),0,5,2,0,3,10,30.00%,20.00%,20.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Lota,R01 - BGCI,4179,QLD,KEEP AWAY,No Claims,Very Low (<10),0,3,1,1,0,5,0.00%,40.00%,20.00%,20.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Bethania,R01 - BGCI,4205,QLD,WORTH IT,1 in 4,Medium (20-49),8,17,0,0,8,33,24.20%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Eagleby,R01 - BGCI,4207,QLD,GO,1 in 3,High (50+),18,59,7,4,42,130,32.30%,8.50%,5.40%,3.10%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Beenleigh,R01 - BGCI,4207,QLD,GO,1 in 3,High (50+),36,40,2,3,38,119,31.90%,4.20%,1.70%,2.50%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
Logan Village,R01 - BGCI,4207,QLD,GO,1 in 3,Medium (20-49),3,2,1,7,7,20,35.00%,40.00%,5.00%,35.00%,24/11/25,4-5cm,,23/11/2025,4-5cm,,,,
